frame,timestamp_sec,pixel_height,frame_height,detected
644,26.860,261.8,1080,Yes
645,26.902,274.9,1080,Yes
646,26.944,222.5,1080,Yes
647,26.985,96.0,1080,Yes
648,27.027,28.8,1080,Yes
649,27.069,13.3,1080,Yes
650,27.110,68.6,1080,Yes
651,27.152,76.9,1080,Yes
652,27.194,239.3,1080,Yes
653,27.236,287.9,1080,Yes
654,27.277,214.7,1080,Yes
655,27.319,134.6,1080,Yes
656,27.361,32.4,1080,Yes
657,27.402,1.7,1080,Yes
658,27.444,41.7,1080,Yes
659,27.486,114.6,1080,Yes
660,27.527,224.2,1080,Yes
661,27.569,294.3,1080,Yes
662,27.611,265.4,1080,Yes
663,27.653,147.7,1080,Yes
664,27.694,43.9,1080,Yes
665,27.736,2.0,1080,Yes
666,27.778,18.4,1080,Yes
667,27.819,91.4,1080,Yes
668,27.861,170.6,1080,Yes
669,27.903,253.5,1080,Yes
670,27.945,276.2,1080,Yes
671,27.986,251.3,1080,Yes
672,28.028,96.5,1080,Yes
673,28.070,16.7,1080,Yes
674,28.111,7.1,1080,Yes
675,28.153,89.9,1080,Yes
676,28.195,215.5,1080,Yes
677,28.237,271.3,1080,Yes
678,28.278,276.9,1080,Yes
679,28.320,214.2,1080,Yes
680,28.362,74.5,1080,Yes
681,28.403,10.2,1080,Yes
682,28.445,6.4,1080,Yes
683,28.487,74.2,1080,Yes
684,28.528,144.8,1080,Yes
685,28.570,246.5,1080,Yes
686,28.612,275.8,1080,Yes
687,28.654,201.0,1080,Yes
688,28.695,268.8,1080,Yes
689,28.737,12.8,1080,Yes
690,28.779,8.9,1080,Yes
691,28.820,61.3,1080,Yes
692,28.862,127.4,1080,Yes
693,28.904,270.3,1080,Yes
694,28.946,286.4,1080,Yes
695,28.987,220.6,1080,Yes
696,29.029,111.6,1080,Yes
697,29.071,9.6,1080,Yes
698,29.112,11.4,1080,Yes
699,29.154,27.6,1080,Yes
700,29.196,94.3,1080,Yes
701,29.238,193.9,1080,Yes
702,29.279,262.2,1080,Yes
703,29.321,238.1,1080,Yes
704,29.363,243.9,1080,Yes
705,29.404,30.6,1080,Yes
706,29.446,12.1,1080,Yes
707,29.488,16.4,1080,Yes
708,29.529,98.9,1080,Yes
709,29.571,223.7,1080,Yes
710,29.613,255.9,1080,Yes
711,29.655,199.7,1080,Yes
712,29.696,106.2,1080,Yes
713,29.738,6.1,1080,Yes
714,29.780,32.3,1080,Yes
715,29.821,22.0,1080,Yes
716,29.863,63.2,1080,Yes
717,29.905,143.3,1080,Yes
718,29.947,222.9,1080,Yes
719,29.988,256.6,1080,Yes
720,30.030,184.6,1080,Yes
721,30.072,41.0,1080,Yes
722,30.113,23.1,1080,Yes
723,30.155,7.1,1080,Yes
724,30.197,77.9,1080,Yes
725,30.239,180.8,1080,Yes
726,30.280,228.5,1080,Yes
727,30.322,242.8,1080,Yes
728,30.364,186.5,1080,Yes
729,30.405,89.2,1080,Yes
730,30.447,8.7,1080,Yes
731,30.489,3.5,1080,Yes
732,30.530,54.2,1080,Yes
733,30.572,99.4,1080,Yes
734,30.614,209.4,1080,Yes
735,30.656,240.6,1080,Yes
736,30.697,183.5,1080,Yes
737,30.739,100.1,1080,Yes
738,30.781,3.7,1080,Yes
739,30.822,33.5,1080,Yes
740,30.864,20.1,1080,Yes
741,30.906,167.3,1080,Yes
742,30.948,213.3,1080,Yes
743,30.989,250.6,1080,Yes
744,31.031,188.4,1080,Yes
745,31.073,95.8,1080,Yes
746,31.114,3.0,1080,Yes
747,31.156,19.2,1080,Yes
748,31.198,18.5,1080,Yes
749,31.240,81.8,1080,Yes
750,31.281,172.9,1080,Yes
751,31.323,252.1,1080,Yes
752,31.365,225.0,1080,Yes
753,31.406,140.5,1080,Yes
754,31.448,37.8,1080,Yes
755,31.490,25.3,1080,Yes
756,31.531,7.7,1080,Yes
757,31.573,76.1,1080,Yes
758,31.615,187.5,1080,Yes
759,31.657,243.3,1080,Yes
760,31.698,236.4,1080,Yes
761,31.740,148.0,1080,Yes
762,31.782,40.4,1080,Yes
763,31.823,14.1,1080,Yes
764,31.865,17.5,1080,Yes
765,31.907,37.0,1080,Yes
766,31.949,64.6,1080,Yes
767,31.990,201.7,1080,Yes
768,32.032,230.3,1080,Yes
769,32.074,185.9,1080,Yes
770,32.115,118.4,1080,Yes
771,32.157,1.2,1080,Yes
772,32.199,35.4,1080,Yes
773,32.241,15.7,1080,Yes
774,32.282,135.0,1080,Yes
775,32.324,187.4,1080,Yes
776,32.366,235.3,1080,Yes
777,32.407,194.3,1080,Yes
778,32.449,113.2,1080,Yes
779,32.491,28.1,1080,Yes
780,32.532,4.1,1080,Yes
781,32.574,7.2,1080,Yes
782,32.616,65.9,1080,Yes
783,32.658,163.8,1080,Yes
784,32.699,243.2,1080,Yes
785,32.741,271.2,1080,Yes
786,32.783,140.5,1080,Yes
787,32.824,35.8,1080,Yes
788,32.866,12.0,1080,Yes
789,32.908,0.2,1080,Yes
790,32.950,74.7,1080,Yes
791,32.991,190.7,1080,Yes
792,33.033,233.4,1080,Yes
793,33.075,260.5,1080,Yes
794,33.116,215.0,1080,Yes
795,33.158,92.0,1080,Yes
796,33.200,20.1,1080,Yes
797,33.242,5.9,1080,Yes
798,33.283,49.2,1080,Yes
799,33.325,91.9,1080,Yes
800,33.367,215.2,1080,Yes
801,33.408,276.6,1080,Yes
802,33.450,241.4,1080,Yes
803,33.492,160.1,1080,Yes
804,33.533,41.6,1080,Yes
805,33.575,6.2,1080,Yes
806,33.617,12.9,1080,Yes
807,33.659,103.9,1080,Yes
808,33.700,212.0,1080,Yes
809,33.742,255.5,1080,Yes
810,33.784,270.5,1080,Yes
811,33.825,155.4,1080,Yes
812,33.867,45.3,1080,Yes
813,33.909,2.4,1080,Yes
814,33.951,2.2,1080,Yes
815,33.992,69.9,1080,Yes
816,34.034,146.9,1080,Yes
817,34.076,242.2,1080,Yes
818,34.117,276.6,1080,Yes
